Participant,EAR,MAR,Circularity,MOE,Y
1,0.312688029,0.792396743,0.432896445,2.5341448,0
1,0.321939638,0.766199268,0.48692349,2.379946981,0
1,0.331216162,0.688449396,0.456028705,2.078550128,0
1,0.309246418,0.776136379,0.452654997,2.509766754,0
1,0.204690721,0.734188979,0.361123353,3.586821011,0
1,0.322248986,0.75517572,0.469809689,2.343454143,0
1,0.348219842,0.752566998,0.45633094,2.161183561,0
1,0.284539605,0.74612147,0.386477058,2.62220604,0
1,0.296542139,0.729974933,0.411542377,2.461622942,0
1,0.351581536,0.779670839,0.495261989,2.217610314,0
1,0.333525086,0.721520028,0.453353377,2.163315618,0
1,0.332820118,0.725999871,0.517329198,2.181358133,0
1,0.337904735,0.727095104,0.447811107,2.151775419,0
1,0.340539581,0.79463274,0.476608989,2.33345192,0
1,0.284080143,0.729653435,0.429299821,2.568477427,0
1,0.243687224,0.68481057,0.42215496,2.810203011,0
1,0.281334808,0.700763255,0.444680009,2.490851598,0
1,0.287496374,0.682050856,0.437234089,2.372380722,0
1,0.316858527,0.696779532,0.466449063,2.199024083,0
1,0.321745731,0.69076513,0.477677011,2.146928658,0
1,0.291892745,0.705934549,0.437249421,2.418472402,0
1,0.340772038,0.712087637,0.502496495,2.089630478,0
1,0.315681793,0.68507887,0.501114233,2.170156425,0
1,0.331095258,0.696779532,0.480468092,2.104468472,0
1,0.338466623,0.732760058,0.512235612,2.164940375,0
1,0.3231895,0.744870625,0.482280796,2.304748839,0
1,0.272908417,0.726234399,0.440565826,2.661091975,0
1,0.354946756,0.728592125,0.49530994,2.052680049,0
1,0.323518473,0.699346294,0.503393414,2.161688909,0
1,0.320648841,0.718471001,0.475032429,2.240678614,0
1,0.313160114,0.745177571,0.459252255,2.379541764,0
1,0.311932922,0.736909048,0.438403634,2.362395875,0
1,0.321082562,0.712025899,0.492129183,2.217578852,0
1,0.320249674,0.717133373,0.470838669,2.239294623,0
1,0.257469155,0.762310013,0.406934547,2.960781901,0
1,0.335541677,0.776606672,0.465736338,2.31448647,0
1,0.295845826,0.725143919,0.465008889,2.451087211,0
1,0.348775811,0.764669111,0.500057592,2.192437341,0
1,0.278191306,0.712883835,0.403883591,2.562566911,0
1,0.226299238,0.709798454,0.380377052,3.136548136,0
1,0.32003109,0.733268493,0.47157016,2.291241427,0
1,0.275292803,0.708824313,0.420033632,2.574801469,0
1,0.269834591,0.794693942,0.385937867,2.945115154,0
1,0.285809739,0.771049109,0.428828975,2.697770589,0
1,0.25370291,0.787816808,0.392243385,3.10527304,0
1,0.278265313,0.762981355,0.406520127,2.741920459,0
1,0.318716335,0.778761977,0.492420935,2.443432892,0
1,0.299381579,0.787276497,0.452879112,2.629675816,0
1,0.294398876,0.808425639,0.439477971,2.746021489,0
1,0.261331798,0.793939754,0.382091487,3.038052617,0
1,0.306716272,0.80103856,0.43520355,2.61165981,0
1,0.305526089,0.813757848,0.443539645,2.663464358,0
1,0.310599339,0.795181998,0.436430011,2.560153547,0
1,0.247617057,0.788583951,0.360910582,3.18469156,0
1,0.266999792,0.781815806,0.399603451,2.928151369,0
1,0.301308423,0.794021817,0.43968858,2.635245999,0
1,0.318952613,0.811061951,0.461088919,2.542891697,0
1,0.305753763,0.788991606,0.429546288,2.580480443,0
1,0.293832125,0.768273325,0.459588,2.614667557,0
1,0.293307263,0.815553199,0.417226428,2.780542124,0
1,0.33720765,0.756062467,0.481728527,2.242127268,0
1,0.337615131,0.7694168,0.468470092,2.278976055,0
1,0.335470206,0.775842777,0.476018147,2.312702478,0
1,0.306974309,0.787828658,0.449575272,2.566431898,0
1,0.33905005,0.797833799,0.484642845,2.353144611,0
1,0.395067226,0.829103287,0.533837459,2.098638492,0
1,0.349152025,0.822275707,0.48671104,2.35506498,0
1,0.328411407,0.775545579,0.474215133,2.361506218,0
1,0.301504562,0.803087132,0.423229753,2.663598609,0
1,0.291638539,0.815341547,0.418872076,2.795726343,0
1,0.340146574,0.784254509,0.467586378,2.305636952,0
1,0.308062674,0.800458687,0.416101317,2.59836311,0
1,0.305235771,0.785320329,0.444011893,2.572831907,0
1,0.332820118,0.789508368,0.486134625,2.372177419,0
1,0.306524157,0.801060403,0.460206442,2.613367939,0
1,0.344075044,0.801742396,0.496702232,2.330138181,0
1,0.260655454,0.73272601,0.40744166,2.811090267,0
1,0.328283743,0.700755682,0.462356494,2.134603668,0
1,0.341901483,0.677480326,0.476349489,1.981507422,0
1,0.31348702,0.708630791,0.470335136,2.260478892,0
1,0.357418245,0.759392044,0.538171559,2.124659428,0
1,0.330273015,0.736482859,0.485877202,2.229921389,0
1,0.364462692,0.773545028,0.51184609,2.122425821,0
1,0.345818507,0.733161812,0.500070812,2.120076853,0
1,0.32555595,0.705546779,0.473132736,2.167205911,0
1,0.337345363,0.748474831,0.468428988,2.218719788,0
1,0.342053103,0.80447139,0.458728325,2.351890344,0
1,0.325899512,0.796975052,0.454974174,2.445462552,0
1,0.323098638,0.82315903,0.467455945,2.547701947,0
1,0.323449226,0.821994937,0.452854088,2.541341484,0
1,0.283642196,0.828743873,0.427912543,2.921793313,0
1,0.330546585,0.827663934,0.468751813,2.50392523,0
1,0.302873271,0.822403453,0.434904444,2.715338499,0
1,0.302544985,0.836039436,0.44052811,2.763355787,0
1,0.319254507,0.822966606,0.459752932,2.577775997,0
1,0.323449226,0.858736355,0.46580874,2.654934023,0
1,0.308061471,0.838592114,0.453211197,2.722158381,0
1,0.326214658,0.807064131,0.4749548,2.474027799,0
1,0.321578043,0.816917309,0.483354209,2.540339203,0
1,0.188664267,0.767390962,0.340291473,4.067494997,0
1,0.324132547,0.822602686,0.466469438,2.537858948,0
1,0.301067062,0.824803678,0.438807408,2.739601179,0
1,0.299480086,0.779365097,0.429372756,2.60239373,0
1,0.312507841,0.79541847,0.463517545,2.545275236,0
1,0.315100741,0.805668742,0.452050006,2.55686083,0
1,0.326142213,0.840002937,0.477531363,2.575572566,0
1,0.321391939,0.824483322,0.461287287,2.565351587,0
1,0.323289653,0.829643468,0.48644555,2.566254319,0
1,0.335608645,0.795852461,0.477962409,2.371370563,0
1,0.315520429,0.812642648,0.46525612,2.575562698,0
1,0.31253746,0.842418235,0.445587086,2.695415252,0
1,0.309903232,0.814276645,0.461683161,2.627519049,0
1,0.298719989,0.799665854,0.43117521,2.676974702,0
1,0.330905255,0.81179843,0.480782231,2.453265453,0
1,0.320928378,0.847758499,0.46289869,2.641581601,0
1,0.313337254,0.814697256,0.424837226,2.600065094,0
1,0.319469607,0.816894035,0.439841036,2.55703208,0
1,0.318015246,0.855271634,0.435586688,2.689404504,0
1,0.300218201,0.778799484,0.435639272,2.594111488,0
1,0.30766532,0.837305459,0.433267529,2.721481447,0
1,0.342999943,0.825966927,0.481696331,2.408067245,0
1,0.321288852,0.790655949,0.470542402,2.460888215,0
1,0.346664993,0.790437397,0.490143521,2.280118883,0
1,0.294573001,0.789336343,0.428071295,2.679595012,0
1,0.339816437,0.794029767,0.489220422,2.336643203,0
1,0.321727704,0.812144366,0.449231715,2.524322143,0
1,0.33748616,0.790798091,0.48705157,2.343201544,0
1,0.337338838,0.814562211,0.465760236,2.41467071,0
1,0.357547839,0.807051112,0.490433261,2.25718358,0
1,0.367743512,0.796513491,0.519377091,2.165948455,0
1,0.374421419,0.836505472,0.510807707,2.234128253,0
1,0.400772933,0.881855403,0.574420281,2.200386628,0
1,0.349060046,0.812872615,0.510407335,2.32874723,0
1,0.335555009,0.871686783,0.484811632,2.597746299,0
1,0.349945261,0.828369014,0.513044011,2.367138825,0
1,0.33975387,0.851995684,0.493904724,2.507684999,0
1,0.309320753,0.84656258,0.423667608,2.736843784,0
1,0.330873839,0.825131226,0.466853147,2.493794094,0
1,0.358586309,0.815633996,0.516484517,2.274582091,0
1,0.344131251,0.829834763,0.523431709,2.411390307,0
1,0.349572535,0.845870406,0.495386758,2.419727874,0
1,0.35152367,0.805483481,0.497040222,2.291406098,0
1,0.312379506,0.811390959,0.468860716,2.597452592,0
1,0.353759995,0.805316805,0.50479668,2.276449618,0
1,0.341796623,0.800674113,0.496257838,2.342545415,0
1,0.337485652,0.839515742,0.492073763,2.487559802,0
1,0.356122646,0.795801974,0.509256492,2.23462895,0
1,0.309162778,0.826105271,0.440693374,2.672072222,0
1,0.349288841,0.87506517,0.473344854,2.505276626,0
1,0.331252731,0.734760443,0.471830187,2.218126442,0
1,0.315247857,0.780949648,0.45440386,2.477256009,0
1,0.34012727,0.746679254,0.487568399,2.195293706,0
1,0.308965093,0.772997061,0.46732451,2.501891242,0
1,0.342468916,0.770410658,0.482298947,2.249578346,0
1,0.226990483,0.772529659,0.388035366,3.403357049,0
1,0.357715785,0.793489622,0.516468971,2.218212491,0
1,0.321945831,0.772062607,0.468802294,2.398113388,0
1,0.330953091,0.805630814,0.481442344,2.434274935,0
1,0.316901408,0.769717519,0.443791708,2.428886395,0
1,0.312620744,0.80088272,0.453335715,2.56183486,0
1,0.340146574,0.805906661,0.492634758,2.369292309,0
1,0.337690338,0.743459729,0.488077076,2.201602013,0
1,0.338288426,0.77853323,0.467890943,2.301388903,0
1,0.372906699,0.803319516,0.511688836,2.154210474,0
1,0.367864924,0.77062763,0.521955898,2.094865752,0
1,0.314319701,0.755984256,0.452043295,2.405144362,0
1,0.335059984,0.761501773,0.458888179,2.272732674,0
1,0.321788825,0.778068335,0.465213263,2.417947036,0
1,0.342347666,0.77983337,0.478892658,2.277898895,0
1,0.293085972,0.789451651,0.426603611,2.693583884,0
1,0.328580808,0.782740946,0.479255687,2.382187051,0
1,0.330467151,0.763604585,0.469260953,2.310682267,0
1,0.314786677,0.804022379,0.4471078,2.554181729,0
1,0.332964508,0.784747894,0.492194827,2.35685148,0
1,0.337120357,0.772568419,0.478997685,2.291669439,0
1,0.332470147,0.779435785,0.48937773,2.344378263,0
1,0.242928917,0.832706175,0.402739625,3.427777091,0
1,0.285785502,0.745752768,0.41226913,2.609484251,0
1,0.352080099,0.719143226,0.480018358,2.042555737,0
1,0.335392881,0.729488676,0.476864474,2.175027312,0
1,0.342570544,0.751743571,0.47501893,2.194419759,0
1,0.286764706,0.744369894,0.414748049,2.595751424,0
1,0.323911536,0.728139289,0.454190318,2.247957261,0
1,0.323807754,0.764253835,0.47626765,2.360208566,0
1,0.335250462,0.728815361,0.460033286,2.173942894,0
1,0.326037028,0.730727826,0.473264554,2.241241833,0
1,0.332964508,0.767055891,0.469939793,2.303716677,0
1,0.371079899,0.746036929,0.528382465,2.010448237,0
1,0.312379506,0.726336808,0.468860716,2.325174324,0
1,0.335490551,0.752913661,0.485895078,2.24421719,0
1,0.351939436,0.764198927,0.499303884,2.171393284,0
1,0.368175594,0.782304289,0.515951871,2.124812999,0
1,0.364332992,0.736954401,0.528699584,2.022749568,0
1,0.347059919,0.757066983,0.506584955,2.181372557,0
1,0.378067822,0.754300253,0.537806757,1.995145339,0
1,0.364815359,0.739275392,0.529456284,2.026437139,0
1,0.299399865,0.743178172,0.465324132,2.482226143,0
1,0.292041466,0.802640427,0.44583199,2.7483783,0
1,0.349583669,0.767855677,0.494197515,2.196486122,0
1,0.312688029,0.781576458,0.451296129,2.499540708,0
1,0.324997445,0.753484707,0.460293161,2.318432713,0
1,0.338108,0.730465498,0.471969049,2.160450204,0
1,0.312688029,0.743070722,0.451296129,2.376396447,0
